"Polarity","Adduct.type","Average.Rt.min.","Metabolite.curated","Ontology","Fenton_0h_1","Fenton_0h_2","Fenton_0h_3","Fenton_1min_1","Fenton_1min_2","Fenton_1min_3","Fenton_20min_1","Fenton_20min_2","Fenton_20min_3","Fenton_4h_1","Fenton_4h_2","Fenton_4h_3","Fenton_24h_1","Fenton_24h_2","Fenton_24h_3","Fenton_72h_1","Fenton_72h_2","Fenton_72h_3","H2O2_0h_1","H2O2_0h_2","H2O2_0h_3","H2O2_1min_1","H2O2_1min_2","H2O2_1min_3","H2O2_20min_1","H2O2_20min_2","H2O2_20min_3","H2O2_4h_1","H2O2_4h_2","H2O2_4h_3","H2O2_24h_1","H2O2_24h_2","H2O2_24h_3","H2O2_72h_1","H2O2_72h_2","H2O2_72h_3"
"Pos","[M+NH4]+",23.005,"CE 18:1(d7)","CE",861987,608235,747143,0,0,0,290417,315269,309974,452677,356216,456301,295748,547115,430843,408799,286655,349264,895909,977500,977736,413277,702466,325007,622888,460232,570421,563643,553666,256393,669446,527367,718409,554037,753110,589605
"Neg","[M-H]-",21.84,"CL 18:2_18:2_18:2_18:2(d5)","CL",2716177,1688083,2858845,0,6776,4057,2972087,3097056,336899,5222065,1264273,6265024,1927460,8007992,6724948,6169786,9182766,7059326,3175623,4358959,4088395,1667939,2786219,1011439,5300152,1506951,6066905,5581384,4391160,2698031,6447012,5267964,6432627,5535917,8526975,5906433
"Neg","[M+HCOO]-",12.579,"Cer 18:1(d7);2O/15:0","Cer",49921820,42127127,41125206,3338537,2932705,4207538,14395269,14149590,14385419,11902174,17260729,15565650,8820190,12553438,10621485,10065255,17840674,15151618,46422615,47826338,48746079,43214420,45087381,37934887,37753468,26733795,38249048,38132651,34695120,39023250,37912317,38688113,37597060,33870109,40171621,36363492
"Pos","[M+NH4]+",14.723,"DG 15:0_18:1(d7)","DG",29090406,23001651,26403296,2193742,1318334,1290157,17193634,18117379,17908156,28213924,26377428,25896176,20302196,27314616,21697643,25223753,24875493,19734392,29055334,29291075,31010214,21135624,27565667,17720996,24592513,16769542,26942270,22253954,21322721,18422311,23554635,22260454,23498592,22869116,29057868,25079610
"Neg","[M-H]-",8.197,"FA 18:1(d17)","FA",1879048,1620020,1969843,93066,40576,38837,311751,477711,335267,1275134,1038823,1359746,984446,1641742,856057,1622105,1452777,1459356,1868853,1828925,1914955,1693080,1471264,1458958,1427571,1297496,1898396,1607305,1855399,1648406,1543086,1807047,1782078,1643539,1788818,1717193
"Pos","[M+H]+",3.148,"LPC 18:1(d7)","LPC",85988381,75247362,75270837,343052,19867,6779,562791,767790,697468,22546757,21702722,24505961,24788228,29532430,25165984,26364157,33248442,41362254,86497524,90200495,91542445,77785912,80740879,76823509,76903847,79440476,82113351,77589128,87065267,83545357,86213194,92383477,92789320,87524117,107300901,98931422
"Neg","[M-H]-",3.086,"LPE 18:1(d7)","LPE",11008330,15178491,28200045,49459,0,1679,93097,307429,105768,2443882,1267049,1401745,2615990,3113704,2233531,3372056,2049965,5592494,14308868,18982679,11206889,13543249,10925990,9772461,9425468,23593496,20013964,11351986,20906804,11461222,12930158,12524783,12070432,11476056,12420877,15259390
"Pos","[M+H]+",3.1,"LPE 18:1(d7)","LPE",33320722,30060707,31074355,157769,2655,0,292139,475044,310930,4153110,3540809,4685990,4260333,5571235,4328268,5471774,6159446,10633543,33878788,36903295,37677405,30407761,30182515,31051067,29958051,32112203,33596203,30274932,35786035,34576684,34045615,38209344,39799541,34186201,41369121,38259529
"Neg","[M+HCOO]-",12.946,"PC 15:0_18:1(d7)","PC",17599594,14278817,15968513,367700,160861,241147,5995176,6685635,5884412,7471651,11567115,10814719,6100311,8507218,6794478,7386936,10571501,9335456,16094221,15474340,17005114,14091229,16090762,13211013,14057869,11755104,14893924,13564630,12327826,13834974,13770146,15033569,15139270,14308263,15443272,14488402
"Pos","[M+H]+",12.965,"PC 15:0_18:1(d7)","PC",176760318,150394614,151178345,2757979,1617750,1682887,41992830,45919422,41453546,78615035,72384166,75213111,57588610,78564055,64878864,72575206,72771049,71688785,179035126,185055570,189764362,158603413,167636380,140290537,144650042,132553597,163907670,140181119,152494715,149384063,149813427,155082402,156528807,138009032,164976671,151438025
"Neg","[M-H]-",13.064,"PE 15:0_18:1(d7)","PE",21929341,18029484,20678479,312989,163126,262631,6377983,7108455,5805365,7774686,11259227,12385422,7113987,10669987,7934848,8739853,11380238,11091214,20210509,20681607,21518575,17515798,20138606,16007801,17707049,14619374,18911796,16714529,15162691,16767217,16815901,19063549,19966891,18426941,21199806,19025044
"Pos","[M+H]+",13.067,"PE 15:0_18:1(d7)","PE",43051916,38090908,41333390,686885,473321,502472,13572399,15060036,12675413,24704737,19962695,26937186,20809355,29899784,22719075,27385868,24582452,27137355,43932945,46647384,46774669,38906223,41393928,34603618,39129849,37921391,42781112,35952912,37554805,37829361,38899988,43153024,40719153,40828405,47882189,43784987
"Neg","[M-H]-",12.172,"PG 15:0_18:1(d7)","PG",13110377,12154505,15363033,189632,76030,113091,3425039,4423561,3467622,5698688,7636677,9609665,5094465,7803276,6041514,7172519,8971770,9867041,14282331,14889233,16828410,19424860,18783547,16009504,18260187,15399848,19999369,18963373,16488008,19402198,19363054,21631112,23105367,19340052,21176758,20742020
"Neg","[M-H]-",11.913,"PI 15:0_18:1(d7)","PI",3245981,3038480,3272829,39891,20415,61946,205700,360228,299494,328946,375056,682827,233800,333195,381519,523138,313740,698032,3383537,3647407,4025045,3838181,3656099,3124167,3288342,3273370,3740475,4321830,4849810,5300697,5411013,6190776,8278098,5260684,6530220,6685594
"Neg","[M-H]-",12.261,"PS 15:0_18:1(d7)","PS",5053511,4227217,3691227,722885,386988,573155,636576,970795,953194,589381,413108,695525,256829,408781,466239,411103,440873,480019,4973341,4206025,4363653,4480402,3980235,3779369,3530604,2518358,3679818,3613655,3169268,3125520,3519914,3364742,4177755,3197685,3654940,3150869
"Neg","[M+HCOO]-",12.345,"SM 18:1;2O/18:1(d9)","SM",19821649,16095268,18227789,56119,15171,12130,2146910,3150570,2398792,5117539,8242136,8279686,4586559,6593792,5140936,5162455,7354799,10039729,18189281,16344821,18506700,16648392,17575955,15997134,16006556,14587630,15946824,16650217,14628117,17218848,16480252,19343011,19416679,17257057,17546069,17520215
"Pos","[M+H-H2O]+",11.022,"ST 27:1;O(d7)","ST",427950,300859,356054,4954,5444,0,90860,88591,85155,153753,81179,94893,60821,91787,61229,120524,123897,56863,394290,413865,463202,410222,432275,439153,379608,356541,389393,394488,380904,340759,301920,353673,324142,306668,391020,354838
